25,24,time,mNr
-1.270976,-0.448272,1731489942878400,20
0.19859,-1.141056,1731489942878800,20
-1.032668,0.529776,1731489942879200,20
-0.357462,-0.366768,1731489942879600,20
-0.913514,-0.40752,1731489942880000,20
-1.19154,-0.040752,1731489942880400,20
-1.549002,-0.652032,1731489942880800,20
-0.913514,-0.163008,1731489942881200,20
-1.19154,0.896544,1731489942881600,20
-0.476616,0.244512,1731489942882000,20
-0.953232,0.366768,1731489942882400,20
-1.072386,0.081504,1731489942882800,20
0.59577,0.692784,1731489942883200,20
0.0,-0.244512,1731489942883600,20
1.072386,0.652032,1731489942884000,20
0.19859,0.570528,1731489942884400,20
-0.19859,0.570528,1731489942884800,20
0.873796,1.915344,1731489942885200,20
0.913514,0.489024,1731489942885600,20
0.913514,0.529776,1731489942886000,20
0.675206,-0.326016,1731489942886400,20
0.158872,-0.489024,1731489942886800,20
1.429848,0.529776,1731489942887200,20
1.072386,-0.40752,1731489942887600,20
1.350412,0.448272,1731489942888000,20
0.317744,0.081504,1731489942888400,20
-0.59577,-0.163008,1731489942888800,20
0.436898,-0.61128,1731489942889200,20
0.556052,-0.652032,1731489942889600,20
0.635488,-0.61128,1731489942890000,20
0.039718,-0.61128,1731489942890400,20
-0.79436,-1.42632,1731489942890800,20
-0.953232,-1.181808,1731489942891200,20
0.19859,-1.059552,1731489942891600,20
-0.079436,0.163008,1731489942892000,20
-1.310694,-0.20376,1731489942892400,20
-1.032668,-1.181808,1731489942892800,20
-1.19154,-0.326016,1731489942893200,20
-0.317744,-0.122256,1731489942893600,20
-0.158872,-0.40752,1731489942894000,20
-1.032668,0.489024,1731489942894400,20
-1.231258,-0.366768,1731489942894800,20
-0.476616,1.711584,1731489942895200,20
-0.158872,0.81504,1731489942895600,20
0.635488,0.0,1731489942896000,20
0.278026,0.244512,1731489942896400,20
-0.79436,0.244512,1731489942896800,20
0.317744,1.344816,1731489942897200,20
0.278026,0.122256,1731489942897600,20
1.668156,1.263312,1731489942898000,20
0.714924,0.366768,1731489942898400,20
-0.238308,0.244512,1731489942898800,20
0.516334,0.61128,1731489942899200,20
0.953232,0.040752,1731489942899600,20
0.99295,1.100304,1731489942900000,20
